Kebangsaan,Jumlah Kunjungan,Total Perubahan (%),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Des 2021,Nov 2022,Des 2022,"Jan-Des2021","Jan-Des2022","Des 2022thd Des2021","Des 2022 thdNov 2022","Jan-Des’22thd Jan-Des’21"
(1),(2),(3),(4),(5),(6),(7),(8),(9)
Malaysia,-,834,2443,-,6.228,-,"192,93",-
Singapura,-,344,1.112,-,1.634,-,"223,26",-
Amerika Serikat,-,46,101,-,324,-,"119,57",-
India,-,22,142,-,224,-,"545,45",-
Perancis,-,27,45,-,186,-,"66,67",-
Inggris,-,42,56,-,178,-,"33,33",-
Spanyol,-,14,19,-,173,-,"35,71",-
Belanda,-,26,28,-,163,-,"7,69",-
Jerman,-,34,40,-,153,-,"17,65",-
Tiongkok,-,13,72,-,110,-,"453,85",-
Lainnya,-,545,1.111,-,2.763,-,"103,85",-
Jumlah,-,1.947,5.169,-,12.136,-,"165,49",-
